loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,4,0,4,0,40,0,40,0,,,,,,,40,,,1,1788.4841141895195,X,l,go,l,1,,0.6150008747790707,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,41,0,41,0,,,,,,,41,,,1,1790.1187718212022,Y,d,go,d,1,,0.4198649693898915,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,42,0,42,0,,,,,,,42,,,1,1791.5696399662338,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,43,0,43,0,,,,,,,43,,,1,1793.3712230927413,Y,None,nogo,d,0,,0.7025848323173705,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,44,0,44,0,,,,,,,44,,,1,1795.1056901305747,X,l,go,l,1,,0.4890998449118342,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,45,0,45,0,,,,,,,45,,,1,1796.6235129098131,Y,d,go,d,1,,0.4442334424238652,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,46,0,46,0,,,,,,,46,,,1,1798.091289652708,X,l,go,l,1,,0.4324215693632141,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,47,0,47,0,,,,,,,47,,,1,1799.5427822822858,Y,d,go,d,1,,0.5800588311140018,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,48,0,48,0,,,,,,,48,,,1,1801.1439873241252,X,l,go,l,1,,0.4506858029344585,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,49,0,49,0,,,,,,,49,,,1,1802.6280859985018,Y,d,go,d,1,,0.502299353665876,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,50,0,50,0,,,,,,,50,,,1,1804.1628954361731,Y,None,nogo,d,0,,0.7441668727624347,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
