loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10,0,10,0,80,0,80,0,,,,,,,80,,,1,3656.831678060582,Y,l,go,l,1,0.3969124243594706,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,81,0,81,0,,,,,,,81,,,1,3658.2496038787067,X,d,go,d,1,0.3712154545355588,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,82,0,82,0,,,,,,,82,,,1,3659.650527999969,X,None,nogo,None,1,,3660.451167515246,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,83,0,83,0,,,,,,,83,,,1,3661.4519044847693,Y,l,go,l,1,0.4013560605235398,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,84,0,84,0,,,,,,,84,,,1,3662.886110545369,X,d,go,d,1,0.42407654551789165,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,85,0,85,0,,,,,,,85,,,1,3664.337386181811,Y,l,go,l,1,0.44482369697652757,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,86,0,86,0,,,,,,,86,,,1,3665.804957090877,X,d,go,d,1,0.38414393924176693,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,87,0,87,0,,,,,,,87,,,1,3667.20610036375,Y,l,go,l,1,0.3427364241797477,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,88,0,88,0,,,,,,,88,,,1,3668.5739427879453,X,d,go,d,1,0.4145410303026438,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,89,0,89,0,,,,,,,89,,,1,3670.0084446060937,Y,l,go,l,1,0.3730447879061103,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,90,0,90,0,,,,,,,90,,,1,3671.409270303091,X,d,go,d,1,0.4287005455698818,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,91,0,91,0,,,,,,,91,,,1,3672.860399030382,Y,l,go,l,1,0.38462927262298763,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,92,0,92,0,,,,,,,92,,,1,3674.278318060562,X,d,go,d,1,0.40746757574379444,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,93,0,93,0,,,,,,,93,,,1,3675.712707878789,X,None,nogo,None,1,,3676.513249454554,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,94,0,94,0,,,,,,,94,,,1,3677.513830787968,Y,l,go,l,1,0.37145060603506863,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,95,0,95,0,,,,,,,95,,,1,3678.9150070303585,X,d,go,d,1,0.3619999394286424,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,96,0,96,0,,,,,,,96,,,1,3680.2996038787533,Y,l,go,l,1,0.41718200012110174,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,97,0,97,0,,,,,,,97,,,1,3681.7340557575226,X,d,go,d,1,0.37444406072609127,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,98,0,98,0,,,,,,,98,,,1,3683.1351418180857,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,99,0,99,0,,,,,,,99,,,1,3684.936550787883,Y,l,go,l,1,0.3883281818125397,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,100,0,100,0,,,,,,,100,,,1,3686.3540000000503,X,d,go,d,1,0.3640653940383345,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,101,0,101,0,,,,,,,101,,,1,3687.7385711516254,X,None,nogo,None,1,,3688.539160242537,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,102,0,102,0,,,,,,,102,,,1,3689.5400092122145,Y,l,go,l,1,0.3927543635945767,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
,,,,,,,,,,,,10,0,10,0,103,0,103,0,,,,,,,103,,,1,3690.9577478787396,X,d,go,d,1,0.43099872721359134,,,,,,,,,,,,,,,,,,2,001,2022-12-14_13h58.16.622,00_bat_bachelor,2022.2.4,59.89754251397818,
