loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,19,,,1,1293.803624822467,,X,d,go,d,1,0.4569721006555483,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,20,,,1,1295.3720890317345,1296.1726840374758,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,21,,,1,1297.173162097868,,Y,l,go,l,1,0.3351864627911709,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,22,,,1,1298.6243570306106,,X,d,go,d,1,0.4686040950473398,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,23,,,1,1300.2088032927131,,Y,l,go,l,1,0.6119746921467595,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,24,,,1,1301.926861611195,,X,d,go,None,0,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,25,,,1,1303.7281140711857,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,26,,,1,1305.529436349345,,Y,l,go,l,1,0.34731542656663805,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,27,0,27,0,,,,,,,27,,,1,1306.9804067973746,,X,d,go,d,1,0.6407858296879567,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,28,0,28,0,,,,,,,28,,,1,1308.7319259481737,1309.5323808327666,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,29,0,29,0,,,,,,,29,,,1,1310.53334616567,,Y,l,go,l,1,0.4793187564937398,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,30,0,30,0,,,,,,,30,,,1,1312.1176411550841,,X,d,go,d,1,0.5272188545204699,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,31,0,31,0,,,,,,,31,,,1,1313.7522187868017,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,32,0,32,0,,,,,,,32,,,1,1315.553776216344,,Y,l,go,l,1,0.5478263596305624,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,33,0,33,0,,,,,,,33,,,1,1317.205080627813,,X,d,go,None,0,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,34,0,34,0,,,,,,,34,,,1,1319.0061823000433,,X,None,nogo,d,0,0.45457307156175375,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,35,0,35,0,,,,,,,35,,,1,1320.575125539326,,Y,l,go,l,1,0.38862449739826843,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,36,0,36,0,,,,,,,36,,,1,1322.0926549853757,,X,d,go,d,1,0.5036183811025694,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,37,0,37,0,,,,,,,37,,,1,1323.7108515341533,1324.5116395095247,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,38,0,38,0,,,,,,,38,,,1,1325.511975994159,,Y,l,go,l,1,0.4924843258340843,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,39,0,39,0,,,,,,,39,,,1,1327.1300678157131,,X,d,go,d,1,0.442508592561353,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,40,0,40,0,,,,,,,40,,,1,1328.697776631394,,X,None,nogo,d,0,0.667367150192149,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,41,0,41,0,,,,,,,41,,,1,1330.4657588044647,,Y,l,go,l,1,0.5626961706439033,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,42,0,42,0,,,,,,,42,,,1,1332.1505715633393,1332.951158811571,X,d,go,None,0,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
